exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10076701,1.88982956721245,1.84009721018055,0.304407737821377
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10096381,-0.842004312774633,2.96842198401904,0.7766756678658
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs1030688,1.98781167006624,2.04153630979776,0.330213359465853
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10500326,2.71300345826224,2.25538841710957,0.229015581254345
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10502087,-0.0163428868402172,1.92846064714563,0.993238347369198
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10750766,3.12234022869408,1.43396366058543,0.0294492928763438
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10931284,1.25742850068095,2.14730097808592,0.558154037251215
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11048966,0.627091029230571,1.99740105606774,0.753556364802653
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11079852,0.975697623801018,2.17655623770996,0.653954118781056
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11100769,0.0566676048303466,2.26670419321387,0.980054963609524
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11122147,1.13400216690053,1.89911206264064,0.550425728932892
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11124933,-1.1182180077828,1.81896795932668,0.53871712707469
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11133377,0.727607426689004,2.14644190873256,0.734622498505584
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11196549,2.47389702310216,2.18988467603907,0.258605678340323
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs112767262,2.60326528000372,1.90518297028205,0.171809617376013
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs1136165,0.442384896979617,2.17505907681645,0.838830347775661
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs114020506,-0.268070641975573,1.88721731950804,0.88704410213395
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs115262049,1.12760393883721,2.00246906379711,0.57336216399888
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11579321,1.29363551078853,2.42926973781662,0.594365668412778
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11658399,3.68441069803453,2.12235639287703,0.0825638345628487
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11688682,-0.526334257342363,2.22814835608267,0.813261594273059
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11711331,1.7104612175909,2.02312617134407,0.397857101105797
